Roles,Sex,Full name,Used name,NOC,Athlete ID,Affiliations,Birth Date,Death Date,Height cm,Weight kg,Birth City,Birth Region,Birth Country
Competed in Olympic Games,Male,François Joseph Marie Antoine Blanchy,Jean-François Blanchy,France,1,,1886,1960,,,Bordeaux,Gironde,FRA
Competed in Olympic Games,Male,Arnaud Benjamin Boetsch,Arnaud Boetsch,France,2,"Racing Club de France, Paris (FRA)",1969,,183.0,76.0,Meulan,Yvelines,FRA
Competed in Olympic Games   Administrator,Male,Jean Laurent Robert Borotra,Jean Borotra,France,3,"TCP, Paris (FRA)",1898,1994,183.0,76.0,Biarritz,Pyrénées-Atlantiques,FRA
Competed in Olympic Games,Male,Jacques Marie Stanislas Jean Brugnon,Jacques Brugnon,France,4,"Sporting club de Paris, Paris (FRA)",1895,1978,168.0,64.0,Paris VIIIe,Paris,FRA
Competed in Olympic Games,Male,Henry Albert Canet,Albert Canet,France,5,"TCP, Paris (FRA)",1878,1930,,,Wandsworth,England,GBR
Competed in Olympic Games,Male,Nicolas Chatelain,Nicolas Chatelain,France,6,"SAG Cestas, Cestas (FRA)",1970,,181.0,70.0,Amiens,Somme,FRA
Competed in Olympic Games,Male,Patrick Chila,Patrick Chila,France,7,"AS Pontoise-Cergy TT, Pontoise (FRA) / Royal Villette Charleroi, Charleroi (BEL) / Espérance de Reuilly Tennis de Table, Paris (FRA) / Levallois SCTT, Levallois-Perret (FRA)",1969,,180.0,73.0,Ris-Orangis,Essonne,FRA
Competed in Olympic Games,Male,Henri Jean Cochet,Henri Cochet,France,8,,1901,1987,,,Villeurbanne,Rhône,FRA
Competed in Olympic Games,Male,Marcel Cousin,Marcel Cousin,France,9,,1896,1986,,,Nîmes,Gard,FRA
Competed in Olympic Games,Male,Luc Henri Hervé Guy Gardye de la Chapelle,Guy de la Chapelle,France,10,,1868,1923,,,Farges-Allichamps,Cher,FRA
Competed in Olympic Games,Male,Élie Marie Gabriel Dor de Lastours,"Élie, Comte de Lastours",France,11,,1874,1932,,,Orgeval,Yvelines,FRA
Competed in Olympic Games   Competed in Intercalated Games   Non-starter,Male,Maxime Omer Mathieu Omer-Decugis,Max Decugis,France,12,Sporting Club de France,1882,1978,,,Paris XVIe,Paris,FRA
Competed in Olympic Games,Male,J. Defert,J. Defert,France,13,"Racing Club de France, Paris (FRA)",,,,,,,
Competed in Olympic Games,Male,Étienne Durand,Étienne Durand,France,14,"TCP, Paris (FRA)",,,,,,,
Competed in Olympic Games,Male,Damien Éloi,Damien Éloi,France,15,"Caen TTC, Caen (FRA) / SAG Cestas, Cestas (FRA) / Levallois SC, Levallois-Perret (FRA)",1969,,165.0,58.0,Vire,Calvados,FRA
Competed in Olympic Games,Male,Marie Joseph Adrien Fauchier-Magnan,Adrien Fauchier-Magnan,France,16,,1873,1965,,,Paris VIIIe,Paris,FRA
Competed in Olympic Games   Competed in Olympic Games (non-medal events),Male,Guy Forget,Guy Forget,France,17,"Racing Club de France, Paris (FRA)",1965,,189.0,79.0,Casablanca,Casablanca-Settat,MAR
Competed in Olympic Games,Male,Jean-Philippe Gatien,Jean-Philippe Gatien,France,18,"Levallois SC, Levallois-Perret (FRA)",1968,,178.0,73.0,Alès,Gard,FRA
Competed in Olympic Games   Competed in Intercalated Games   Competed in Olympic Games (non-medal events),Male,Marie Claude Maurice Germot,Maurice Germot,France,19,Sporting Club Vichy,1882,1958,,,Vichy,Allier,FRA
Competed in Olympic Games,Male,Henry Maurice André Gobert,André Gobert,France,20,"Sporting Club d'Houlgate, Houlgate (FRA)",1890,1951,,,Paris XVIIe,Paris,FRA
Competed in Olympic Games,Male,Pierre Michel Hirsch,Pierre Hirsch,France,21,"Sporting club de Paris, Paris (FRA)",1900,1942,,,Paris Ie,Paris,FRA
Competed in Olympic Games,Male,Jean René Lacoste,René Lacoste,France,22,,1904,1996,,,Paris Xe,Paris,FRA
Competed in Olympic Games   Non-starter,Male,Daniel Édouard Lawton,Daniel Lawton,France,23,,1881,1979,,,Cantenac,Gironde,FRA
Competed in Olympic Games,Male,Louis Paul Lebreton,Paul Lebreton,France,24,"TCP, Paris (FRA)",1875,1960,,,Paris IIe,Paris,FRA
Competed in Olympic Games,Male,Paul Émile Lecaron,Paul Lecaron,France,25,"TCP, Paris (FRA)",1863,1940,,,Neuilly-sur-Seine,Hauts-de-Seine,FRA
Competed in Olympic Games,Male,Henri Leconte,Henri Leconte,France,26,LTC Nice,1963,,184.0,78.0,Lillers,Pas-de-Calais,FRA
